# Constructed from biom file
#ASV ID	GZ_Bl_1	GZ_Bl_2	GZ_Bl_3	SX_Bl_1	SX_Bl_2	SX_Bl_3	GZ_Rs_1	GZ_Rs_2	GZ_Rs_3	SX_Rs_1	SX_Rs_2	SX_Rs_3
ASV_277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	883.0	14.0	0.0
ASV_251	11.0	0.0	16.0	284.0	153.0	123.0	44.0	25.0	23.0	97.0	38.0	80.0
ASV_232	255.0	4.0	42.0	108.0	418.0	46.0	0.0	0.0	10.0	0.0	0.0	4.0
ASV_289	0.0	0.0	0.0	0.0	0.0	0.0	95.0	43.0	78.0	355.0	135.0	171.0
ASV_291	0.0	0.0	0.0	0.0	9.0	0.0	154.0	69.0	117.0	258.0	78.0	175.0
ASV_201	71.0	0.0	60.0	144.0	166.0	394.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_298	38.0	10.0	88.0	310.0	185.0	166.0	11.0	10.0	8.0	0.0	8.0	0.0
ASV_10	199.0	14.0	133.0	129.0	69.0	230.0	0.0	23.0	0.0	36.0	0.0	0.0
ASV_270	0.0	0.0	0.0	0.0	0.0	0.0	211.0	128.0	143.0	161.0	87.0	102.0
ASV_343	40.0	0.0	0.0	127.0	398.0	79.0	0.0	0.0	68.0	80.0	14.0	0.0
ASV_365	794.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_364	0.0	0.0	0.0	0.0	0.0	46.0	223.0	102.0	164.0	87.0	33.0	132.0
ASV_371	0.0	0.0	0.0	0.0	0.0	0.0	283.0	158.0	275.0	67.0	0.0	0.0
ASV_337	0.0	0.0	0.0	0.0	0.0	265.0	22.0	32.0	34.0	382.0	0.0	47.0
ASV_73	13.0	0.0	0.0	0.0	0.0	0.0	153.0	103.0	128.0	158.0	138.0	88.0
ASV_11	225.0	0.0	146.0	147.0	129.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_256	129.0	17.0	141.0	218.0	153.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_322	22.0	23.0	13.0	120.0	131.0	222.0	20.0	26.0	21.0	90.0	24.0	55.0
ASV_249	80.0	0.0	34.0	89.0	108.0	83.0	129.0	95.0	96.0	21.0	21.0	9.0
ASV_349	36.0	0.0	66.0	268.0	252.0	88.0	18.0	0.0	33.0	0.0	0.0	0.0
ASV_144	92.0	0.0	49.0	68.0	84.0	77.0	80.0	103.0	76.0	41.0	90.0	0.0
ASV_152	108.0	0.0	52.0	65.0	109.0	64.0	122.0	32.0	51.0	46.0	90.0	19.0
ASV_331	164.0	11.0	206.0	228.0	133.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0
ASV_295	0.0	0.0	0.0	0.0	0.0	0.0	726.0	0.0	0.0	22.0	0.0	0.0
ASV_388	9.0	0.0	0.0	32.0	38.0	0.0	223.0	154.0	219.0	63.0	0.0	0.0
ASV_390	0.0	0.0	0.0	0.0	0.0	0.0	151.0	62.0	132.0	114.0	81.0	190.0
ASV_16	373.0	14.0	136.0	94.0	56.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_213	70.0	0.0	55.0	128.0	138.0	229.0	0.0	0.0	0.0	84.0	0.0	0.0
ASV_281	0.0	0.0	0.0	0.0	0.0	0.0	133.0	67.0	149.0	229.0	50.0	54.0
ASV_338	116.0	6.0	90.0	170.0	110.0	165.0	9.0	0.0	7.0	0.0	0.0	0.0
ASV_385	9.0	0.0	0.0	0.0	11.0	13.0	89.0	58.0	72.0	219.0	72.0	130.0
ASV_433	6.0	0.0	0.0	0.0	0.0	0.0	103.0	79.0	66.0	232.0	0.0	186.0
ASV_117	67.0	0.0	57.0	80.0	97.0	52.0	75.0	58.0	81.0	60.0	38.0	0.0
ASV_447	0.0	0.0	0.0	0.0	0.0	0.0	137.0	82.0	92.0	215.0	41.0	92.0
ASV_95	69.0	15.0	50.0	123.0	66.0	99.0	41.0	29.0	46.0	43.0	28.0	44.0
ASV_402	0.0	0.0	52.0	89.0	485.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_356	153.0	19.0	76.0	105.0	190.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_89	29.0	0.0	25.0	19.0	19.0	0.0	0.0	9.0	3.0	521.0	14.0	9.0
ASV_8	71.0	0.0	61.0	43.0	85.0	174.0	8.0	0.0	18.0	112.0	46.0	28.0
ASV_415	22.0	0.0	31.0	214.0	79.0	72.0	30.0	18.0	49.0	36.0	6.0	86.0
ASV_462	0.0	0.0	0.0	57.0	57.0	55.0	118.0	44.0	64.0	113.0	83.0	48.0
ASV_379	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	46.0	529.0	38.0	0.0
ASV_165	50.0	0.0	68.0	69.0	105.0	59.0	54.0	48.0	59.0	68.0	0.0	53.0
ASV_478	0.0	0.0	0.0	6.0	0.0	0.0	192.0	43.0	110.0	159.0	27.0	86.0
